,,Location,
SODIUM CITRATE-CITRIC ACID 500 MG-334 MG/5 ML ORAL SOLUTION,STR,,
SODIUM DI- AND MONOPHOSPHATE-POTASSIUM PHOS MONOBASIC 250 MG TABLET,STR,,
SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE 62.5 MG/5 ML INTRAVENOUS,STR,,
SODIUM HYALURONATE 30 MG/2 ML INTRA-ARTICULAR SYRINGE,STR,,
SODIUM HYPOCHLORITE 0.125 % SOLUTION,STR,,
SODIUM IODIDE-131 (I-131) CAPSULE,STR,,
SODIUM OXYBATE 500 MG/ML ORAL SOLUTION,STR,,
SODIUM PERTECHNETATE TC-99M INTRAVENOUS SOLUTION,STR,,
SODIUM PHOSPHATE 15 MMOL IN 250 ML NS IVPB PYXIS MINIBAG,STR,,
SODIUM PHOSPHATES 19 GRAM-7 GRAM/118 ML ENEMA,STR,,
SODIUM PHOSPHATES 9.5 GRAM-3.5 GRAM/59 ML ENEMA,STR,,
SODIUM TETRADECYL SULFATE 3 % (30 MG/ML) INTRAVENOUS SOLUTION,STR,,
SODIUM THIOSULFATE 12.5 GRAM/50 ML (250 MG/ML) INTRAVENOUS SOLUTION,STR,,
SODIUM ZIRCONIUM CYCLOSILICATE 10 GRAM ORAL POWDER PACKET,VIT,,
SODIUM ZIRCONIUM CYCLOSILICATE 5 GRAM ORAL POWDER PACKET,VIT,,
SOFOSBUVIR 400 MG-VELPATASVIR 100 MG TABLET,STR,,
SOLIFENACIN 10 MG TABLET,STR,,
SOLIFENACIN 5 MG TABLET,STR,,
SOMATROPIN 10 MG/1.5 ML (6.7 MG/ML) SUBCUTANEOUS PEN INJECTOR,STR,,
SOTALOL 120 MG TABLET,STR,,
SOTALOL 80 MG TABLET,STR,,
SPIRONOLACTONE 12.5 MG TABLET,PHRM,,
SPIRNOLACTONE (ALDACTONE) 12.5 mg TABLET,PHRM,,
SPIRONOLACTONE 25 MG TABLET,PHRM,,
STERILE TALC 4 GRAM INTRAPLEURAL SUSPENSION,STR,,
STERILE WATER FOR INJECTION 10 ML VIAL,PHRM,,
STUDY#24-00233 ZILTIVEKIMAB/PLACEBO PREFILLED SYRINGE,STR,,
SUCCINYLCHOLINE CHLORIDE 20 MG/ML INJECTION SOLUTION,STR,,
SUCRALFATE 1 GRAM TABLET,PHRM,,
SUCRALFATE 100 MG/ML ORAL SUSPENSION,STR,,
SUCROFERRIC OXYHYDROXIDE 500 MG CHEWABLE TABLET,STR,,
SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION,STR,,
SUGAMMADEX 200 MG/2ML SYRINGE,STR,,
SULFAMETHOXAZOLE 200 MG-TRIMETHOPRIM 40 MG/5 ML ORAL SUSPENSION,STR,,
SULFAMETHOXAZOLE 400 MG-TRIMETHOPRIM 80 MG TABLET,STR,,
SULFAMETHOXAZOLE 800 MG-TRIMETHOPRIM 160 MG TABLET,PHRM,,
SULFAMETHOXAZOLE-TRIMETHOPRIM (1 AMP) IVPB,STR,,
SULFAMETHOXAZOLE-TRIMETHOPRIM (2 AMP) IVPB,STR,,
SULFAMETHOXAZOLE-TRIMETHOPRIM (3 AMP) IVPB,STR,,
SULFAMETHOXAZOLE-TRIMETHOPRIM (4 AMP) IVPB,STR,,
SULFASALAZINE 500 MG TABLET,STR,,
"SULFASALAZINE 500 MG TABLET,DELAYED RELEASE",STR,,
SUMATRIPTAN 25 MG TABLET,STR,,
SUMATRIPTAN 50 MG TABLET,STR,,
SUMATRIPTAN 6 MG/0.5 ML SUBCUTANEOUS SOLUTION,STR,,
SUVOREXANT 10 MG TABLET,STR,,
"TACROLIMUS 0.5 MG CAPSULE, IMMEDIATE-RELEASE",PHARM,,
"TACROLIMUS 1 MG CAPSULE, IMMEDIATE-RELEASE",PHARM,,
TACROLIMUS 1 MG/ML ORAL SUSP,STR,,
"TACROLIMUS XR 4 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
TADALAFIL 20 MG TABLET,STR,,
TADALAFIL 5 MG TABLET,STR,,
TAFAMIDIS 61 MG CAPSULE,STR,,
TAFAMIDIS MEGLUMINE 20 MG CAPSULE,STR,,
TAFLUPROST (PF) 0.0015 % EYE DROPS IN A DROPPERETTE,STR,,
TAMOXIFEN 10 MG TABLET,STR,,
TAMSULOSIN 0.4 MG CAPSULE,PHRM,,
TEMAZEPAM 15 MG CAPSULE,STR,,
TEMAZEPAM 30 MG CAPSULE,STR,,
TENAPANOR 20 MG TABLET,STR,,
TENECTEPLASE 50 MG INTRAVENOUS SOLUTION,STR,,
TENOFOVIR ALAFENAMIDE 25 MG TABLET,VIT,,
TENOFOVIR DISOPROXIL FUMARATE 300 MG TABLET,STR,,
TEPROTUMUMAB-TRBW IN 100 ML INTRAVENOUS INFUSION,STR,,
TEPROTUMUMAB-TRBW INTRAVENOUS INFUSION,STR,,
TERAZOSIN 1 MG CAPSULE,STR,,
TERAZOSIN 10 MG CAPSULE,STR,,
TERAZOSIN 2 MG CAPSULE,STR,,
TERAZOSIN 5 MG CAPSULE,STR,,
TERBUTALINE 1 MG/ML SUBCUTANEOUS SOLUTION,STR,,
TERBUTALINE INFUSION,STR,,
TERIFLUNOMIDE 14 MG TABLET,STR,,
TESTOSTERONE 1 % (25 MG/2.5 GRAM) TRANSDERMAL GEL PACKET,STR,,
TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR OIL,STR,,
TETRACAINE HCL (PF) 0.5 % EYE DROPS,STR,,
TETRACYCLINE 250 MG CAPSULE,STR,,
TETRACYCLINE 500 MG CAPSULE,STR,,
THERAPEUTIC MULTIVITAMIN TABLET,VIT,,
THIAMINE HCL (VITAMIN B1) 100 MG/1 ML VIAL,STR,ZONE-5 VIALS(M-Z),
THIAMINE IVPB,STR,,
THIAMINE MONONITRATE (VITAMIN B1) 100 MG TABLET,VIT,
"THROMBIN (BOVINE) 5,000 UNIT TOPICAL SOLUTION",STR,,
THYROID (PORK) 30 MG TABLET,STR,,
TICAGRELOR 60 MG TABLET,STR,,
TICAGRELOR 90 MG TABLET,PHARM,,
TIGECYCLINE 50 MG/50 ML NS IVPB,STR,,
TIGECYCLINE IN 250 ML IVPB,STR,,
TIGECYCLINE IVPB,STR,,
TILDRAKIZUMAB-ASMN 100 MG/ML SUBCUTANEOUS SYRINGE,STR,,
TIMOLOL MALEATE (PF) 0.5 % EYE DROPS IN A DROPPERETTE,STR,,
TIMOLOL MALEATE 0.25 % EYE DROPS,STR,,
TIMOLOL MALEATE 0.5 % EYE DROPS,STR,,
TIOTROPIUM 2.5 MCG-OLODATEROL 2.5 MCG/ACTUATION MIST FOR INHALATION,STR,,
TIOTROPIUM BROMIDE 1.25 MCG/ACTUATION MIST FOR INHALATION,STR,,
TIOTROPIUM BROMIDE 18 MCG CAPSULE WITH INHALATION DEVICE,STR,,
TIOTROPIUM BROMIDE 2.5 MCG/ACTUATION MIST FOR INHALATION,STR,,
TIZANIDINE 2 MG TABLET,PHRM,,
TIZANIDINE 4 MG TABLET,STR,,
TOBRAMYCIN 0.3 % EYE DROPS,STR,,
"TOBRAMYCIN 0.3 %-DEXAMETHASONE 0.1 % EYE DROPS,SUSPENSION",STR,,
TOBRAMYCIN 40 MG/ML INJECTION SOLUTION,STR,,
TOBRAMYCIN IVPB LMA,STR,,
TOCILIZUMAB (ACTEMRA) IN 100 ML NS,STR,,
TOCILIZUMAB (ACTEMRA) IN 100 ML NS (COVID)(MSWMQB)(400MG/20ML),STR,,
TOCILIZUMAB-AAZG IN 100 ML NS,STR,,
"TOFACITINIB ER 11 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
TOLTERODINE 1 MG TABLET,STR,ZONE-2 TABLETS(P-Z),
TOLTERODINE 2 MG TABLET,STR,ZONE-2 TABLETS(P-Z),
TOLTERODINE 4 MG CAPSULE,STR,ZONE-2 TABLETS(P-Z),
"TOLTERODINE ER 4 MG CAPSULE,EXTENDED RELEASE 24 HR",PHRM,,
TOPIRAMATE 100 MG TABLET,PHRM,,
TOPIRAMATE 15 MG SPRINKLE CAPSULE,STR,,
TOPIRAMATE 200 MG TABLET,STR,,
TOPIRAMATE 25 MG TABLET,PHRM,,
TOPIRAMATE 50 MG TABLET,PHRM,,
TORSEMIDE 10 MG TABLET,STR,,
TORSEMIDE 100 MG TABLET,PHRM,,
TORSEMIDE 20 MG TABLET,PHRM,,
TORSEMIDE 5 MG TABLET,STR,,
TOTAL JOINT INJECTION BUILDER SLW,VAULT,,
TPN NON-STANDARD PARENTERAL PANEL (SLW/MSB),VAULT,,
TPN STANDARD CENTRAL ADULT SLW,VAULT,,
TRAMADOL 25 MG HALF TABLET,VAULT,,
TRAMADOL 25 MG TABLET,VAULT,,
TRAMADOL 50 MG TABLET,VAULT,,
"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION",STR,,
"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) NEBULIZATION (92366) 5 ML",STR,,
"TRANEXAMIC ACID 1,000 MG/100 ML(10 MG/ML)IN SOD CHLOR,ISO IV PIGGYBACK",STR,,
"TRANEXAMIC ACID 1,000 MG/100 ML(10 MG/ML)IN SOD CHLOR,ISO IV PIGGYBACK (123448)",STR,,
TRANEXAMIC ACID 500 MG IN NS MOUTH WASH,STR,,
TRANEXAMIC ACID 650 MG TABLET,STR,,
TRANEXAMIC ACID BOLUS,STR,,
TRANEXAMIC ACID INFUSION ANESTHESIA,STR,,
TRAZODONE 100 MG TABLET,PHRM,,
TRAZODONE 150 MG TABLET,STR,,
TRAZODONE 25 MG HALF TABLET,PHRM,,
TRAZODONE 50 MG TABLET,PHRM,,
TREPROSTINIL 64 MCG CARTRIDGE WITH INHALER,STR,,
"TREPROSTINIL DIOLAMINE ER 0.25 MG TABLET,EXTENDED RELEASE",STR,,
"TREPROSTINIL DIOLAMINE ER 1 MG TABLET,EXTENDED RELEASE",STR,,
"TREPROSTINIL DIOLAMINE ER 5 MG TABLET, EXTENDED RELEASE",STR,,
TREPROSTINIL IV INFUSION,STR,,
TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL CREAM,STR,,
TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL OINTMENT,STR,,
TRIAMCINOLONE ACETONIDE 0.5 % TOPICAL CREAM,STR,,
TRIAMCINOLONE ACETONIDE 10 MG/ML SUSPENSION FOR INJECTION,STR,,
TRIAMCINOLONE ACETONIDE 40 MG/ML SUSPENSION FOR INJECTION,STR,,
TRIAMTERENE 37.5 MG-HYDROCHLOROTHIAZIDE 25 MG CAPSULE,STR,,
TRIHEXYPHENIDYL 2 MG TABLET,STR,,
TRIHEXYPHENIDYL 5 MG TABLET,STR,,
TRIMETHOBENZAMIDE 100 MG/ML INTRAMUSCULAR SOLUTION,STR,,
TROPICAMIDE 1 % EYE DROPS,STR,,
TUBERCULIN PPD 5 TUB. UNIT/0.1 ML INTRADERMAL INJECTION SOLUTION,,,
TUMESCENCE SOLUTION,STR,,
UBLITUXIMAB-XIIY (BRIUMVI)INFUSION,STR,,
UBROGEPANT 100 MG TABLET,STR,,
ULIPRISTAL 30 MG TABLET,STR,,
UMECLIDINIUM 62.5 MCG/ACTUATION BLISTER POWDER FOR INHALATION,STR,,
"UPADACITINIB ER 30 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"UPADACITINIB ER 45 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
UREA 15 GRAM ORAL POWDER PACKET,STR,PHRM,,
URSODIOL 250 MG TABLET,STR,,
URSODIOL 300 MG CAPSULE,STR,,
URSODIOL 500 MG TABLET,STR,,
USTEKINUMAB 90 MG/ML SUBCUTANEOUS SYRINGE,STR,,
USTEKINUMAB IVPB,STR,,
VALACYCLOVIR 1 GRAM TABLET,PHARM,,
VALACYCLOVIR 500 MG TABLET,PHARM,,
VALGANCICLOVIR 450 MG TABLET,PHARM,,
VALPROIC ACID (AS SODIUM SALT) 250 MG/5 ML (5 ML) ORAL SOLUTION,PHARM,,
VALPROIC ACID (AS SODIUM SALT) 250 MG/5 ML ORAL SOLUTION,STR,,
VALPROIC ACID 250 MG CAPSULE,STR,,
VALPROIC ACID IVPB,PHRM,,
VALSARTAN 160 MG TABLET,PHRM,,
VALSARTAN 20 MG TABLET,PHRM,,
VALSARTAN 320 MG TABLET,STR,,
VALSARTAN 40 MG TABLET,PHRM,,
VALSARTAN 80 MG TABLET,PHRM,,
VANCOMYCIN >500 MG NS IV,IV,,
VANCOMYCIN 1 G IN NS 100 ML IVPB PYXIS MINIBAG,IV,,
VANCOMYCIN 1 G IN NS 250 ML IVPB ADD-EASE (MSH),IV,,
VANCOMYCIN 1 G IN NS 250 ML IVPB PYXIS MINIBAG,IV,,
VANCOMYCIN 1 GRAM/250 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,IV,,
"VANCOMYCIN 1,000 MG INTRAVENOUS INJECTION",PHRM,,
VANCOMYCIN 1.25 GRAM/250 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,PHRM,,
VANCOMYCIN 1.5 G IN NS 500 ML IVPB PYXIS MINIBAG,PHRM,,
VANCOMYCIN 1.5 GRAM/500 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLN,PHRM,,
VANCOMYCIN 125 MG/2.5 ML ORAL SYRINGE,PHRM,,
VANCOMYCIN 1250 MG IN 250 ML IVPB SLW,PHRM,,
VANCOMYCIN 1250 MG IN NS 250 ML IVPB PYXIS MINIBAG,PHRM,,
VANCOMYCIN 1500 MG IN SODIUM CHLORIDE 0.9 % 500 ML IVPB,PHRM,,
VANCOMYCIN 500 MG IN NS 100 ML IVPB PYXIS MINIBAG,PHRM,,
VANCOMYCIN 500 ML SODIUM CHLORIDE 0.9 % IVPB,IV,,,
VANCOMYCIN 750 MG IN NS 250 ML PYXIS MINIBAG,IV,,,
VANCOMYCIN ENEMA,PHRM,,,
VARENICLINE TARTRATE 0.5 MG TABLET,STR,,
VARENICLINE TARTRATE 1 MG TABLET,STR,,
VASOPRESSIN 0.2 UNIT/ML INTRAVENOUS SOLUTION,STR,,,
VASOPRESSIN 20 UNIT/100 ML (0.2 UNIT/ML) IN 0.9 % SODIUM CHLORIDE IV,PHRM,,,
VASOPRESSIN 20 UNIT/ML INTRAVENOUS SOLUTION,PHRM,,,
VASOPRESSIN 50 UNIT/50 ML (NON-STANDARD CONCENTRATION) INFUSION,STR,,,
VASOPRESSIN 50 UNITS IN NORMAL SALINE 50 ML IVPB,STR,,,
VASOPRESSIN INFUSION ADULT,STR,,,
VASOPRESSIN INFUSION ADULT SLW,STR,,,
VASOPRESSIN INFUSION ANESTHESIA,STR,,,
VECURONIUM BROMIDE 10 MG INTRAVENOUS SOLUTION,STR,,,
VECURONIUM BROMIDE 20 MG INTRAVENOUS SOLUTION,STR,,,
VEDOLIZUMAB INFUSION,STR,,,
VENETOCLAX 100 MG TABLET,STR,,,
VENLAFAXINE 75 MG TABLET,PHARM,,
"VENLAFAXINE ER 150 MG CAPSULE,EXTENDED RELEASE 24 HR",PHARM,,
"VENLAFAXINE ER 37.5 MG CAPSULE,EXTENDED RELEASE 24 HR",PHARM,,
"VENLAFAXINE ER 75 MG CAPSULE,EXTENDED RELEASE 24 HR",PHARM,,
VERAPAMIL 120 MG TABLET,PHARM,,
VERAPAMIL 2.5 MG/ML INTRAVENOUS SOLUTION,STR,,,
VERAPAMIL 80 MG TABLET,PHARM,,
"VERAPAMIL ER (SR) 120 MG TABLET,EXTENDED RELEASE",STR,,
"VERAPAMIL ER (SR) 180 MG TABLET,EXTENDED RELEASE",STR,,

"VERAPAMIL ER (SR) 240 MG TABLET,EXTENDED RELEASE",STR,,
VERICIGUAT 2.5 MG TABLET,STR,,
VINCRISTINE CHEMO INFUSION,STR,,
VISCO-3  10 MG/ML INTRA-ARTICULAR SYRINGE,STR,,,
VIT C 250 MG-E 90 MG-ZINC 40 MG-COPPER 1 MG-LUTEIN-ZEAXAN CHEW TABLET,STR,,,
VIT C 250 MG-VIT E 90 MG-ZINC 40 MG-COPPER 1 MG-LUTEIN-ZEAXAN CAPSULE,STR,,,
"VITAMIN A 3,000 MCG (10,000 UNIT) CAPSULE",VIT,STR,,
VITAMIN B COMP NO.3-FOLIC ACID 1 MG-VIT C 60 MG-BIOTIN 300 MCG TABLET,VIT,STR,,
"VITAMIN E (DL, ACETATE) 180 MG (400 UNIT) CAPSULE",VIT,STR,,
"VITAMIN E (DL, ACETATE) 90 MG (200 UNIT) CAPSULE",VIT,STR,,
VORICONAZOLE 200 MG TABLET,STR,,,
VORICONAZOLE IVPB,STR,,,
VORTIOXETINE 10 MG TABLET,STR,,,
VORTIOXETINE 20 MG TABLET,STR,,,
VUTRISIRAN 25 MG/0.5 ML SUBCUTANEOUS SYRINGE,STR,,,
WARFARIN 0.5 MG HALF TABLET,PHRM,,
WARFARIN 1 MG TABLET,PHRM,,
WARFARIN 10 MG TABLET,PHRM,,
WARFARIN 2 MG TABLET,PHRM,,
WARFARIN 2.5 MG TABLET,PHRM,,
WARFARIN 3 MG TABLET,PHRM,,
WARFARIN 4 MG TABLET,PHRM,,
WARFARIN 5 MG TABLET,PHRM,,
WARFARIN 6 MG TABLET,PHRM,,
WARFARIN 7.5 MG TABLET,PHRM,,
WARFARIN PER PHARMACY PROTOCOL,,,
"WATER FOR INJECTION, STERILE INJECTION SOLUTION",STR,,
WHITE PETROLATUM 41 % TOPICAL OINTMENT,STR,,
WHITE PETROLATUM 42 % TOPICAL OINTMENT,STR,,
WHITE PETROLATUM-MINERAL OIL 94 %-3 % EYE OINTMENT,STR,,
ZALEPLON 10 MG CAPSULE,STR,,
ZANUBRUTINIB 80 MG CAPSULE,STR,,
ZINC OXIDE 13 % TOPICAL CREAM,STR,,
ZINC OXIDE 20 % TOPICAL OINTMENT,STR,,
ZINC SULFATE 50 MG ZINC (220 MG) CAPSULE,PHRM,,
ZIPRASIDONE 20 MG CAPSULE,STR,,
ZIPRASIDONE 20 MG/ML (FINAL CONCENTRATION) INTRAMUSCULAR SOLUTION,STR,,
ZIPRASIDONE 40 MG CAPSULE,STR,,
ZIPRASIDONE 60 MG CAPSULE,STR,,
ZIPRASIDONE 80 MG CAPSULE,STR,,
ZOLEDRONIC ACID 4 MG IN D5W 100 ML IVPB PYXIS MINIBAG,STR,,
ZOLEDRONIC ACID 5 MG/100 ML IN MANNITOL 5 %-WATER INTRAVENOUS PIGGYBCK,STR,,
ZOLEDRONIC ACID IVPB,STR,,
ZOLPIDEM 2.5 MG HALF TABLET,STR,,
ZOLPIDEM 5 MG TABLET,STR,,
ZONISAMIDE 100 MG CAPSULE,PHRM,,
ZONISAMIDE 100 MG/5 ML ORAL SUSPENSION,STR,,
ZONISAMIDE 25 MG CAPSULE,PHRM,,
DEXTROMETHORPHAN-GUAIFENESIN 20 MG-200 MG/10 ML ORAL SYRUP CUP,PHRM,,
